food_category_id,name,subname,priority,reference_amount,calorie,protein,fat,carbohydrate,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c
1,あくまき,,0,1.00,131.000,2.000,1.500,26.100,300.000,6.000,6.000,10.000,0.100,0.700,0.050,0.390,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.010,0.000,1.000,0.000,0.000,0.000
1,アマランサス,玄穀,0,1.00,343.000,11.300,5.000,59.900,600.000,160.000,270.000,540.000,9.400,5.800,0.920,6.140,1.000,13.000,7.000,59.000,0.000,0.000,1.300,0.000,0.040,0.140,3.800,0.580,0.000,130.000,1.690,16.000,0.000
1,あわ,精白粒,0,1.00,346.000,10.200,4.100,67.600,300.000,14.000,110.000,280.000,4.800,2.500,0.490,0.880,0.000,2.000,1.000,22.000,0.000,0.000,0.600,0.000,0.560,0.070,6.400,0.180,0.000,29.000,1.830,14.000,0.000
1,あわ,あわもち,0,1.00,210.000,4.500,1.200,44.600,62.000,5.000,12.000,39.000,0.700,1.100,0.200,0.460,0.000,1.000,0.000,40.000,0.000,0.000,0.100,0.000,0.080,0.010,1.700,0.030,0.000,7.000,0.610,3.400,0.000
1,イングリッシュマフィン,,0,1.00,224.000,7.400,3.200,40.600,84.000,53.000,19.000,96.000,0.900,0.800,0.120,0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.150,0.080,2.800,0.050,0.000,23.000,0.320,0.000,0.000
1,うどん,ゆで,0,1.00,95.000,2.300,0.300,20.700,9.000,6.000,6.000,18.000,0.200,0.100,0.040,0.120,0.000,2.000,1.000,2.000,0.000,0.000,0.100,0.000,0.020,0.010,0.700,0.010,0.000,2.000,0.130,0.300,0.000
1,オートミール,,10,1.00,350.000,12.200,5.100,61.800,260.000,47.000,100.000,370.000,3.900,2.100,0.280,0.000,0.000,18.000,0.000,110.000,0.000,0.000,0.600,0.000,0.200,0.080,4.500,0.110,0.000,30.000,1.290,22.000,0.000
1,おおむぎ,米粒麦,0,1.00,333.000,6.200,1.800,68.600,170.000,17.000,25.000,140.000,1.200,1.200,0.370,0.000,0.000,1.000,0.000,9.000,0.000,0.000,0.100,0.000,0.190,0.050,4.000,0.190,0.000,10.000,0.640,3.500,0.000
1,おにぎり,,0,1.00,170.000,2.400,0.300,39.300,31.000,3.000,7.000,37.000,0.100,0.600,0.100,0.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.010,0.900,0.020,0.000,3.000,0.270,0.000,0.000
1,かやきせんべい,,0,1.00,359.000,0.000,0.000,75.100,150.000,19.000,27.000,110.000,0.800,0.600,0.150,0.760,1.000,5.000,1.000,15.000,0.000,0.000,0.300,0.000,0.170,0.020,3.000,0.090,0.000,16.000,0.390,2.300,0.000
1,かゆ,玄米,0,1.00,64.000,1.000,0.400,14.800,41.000,3.000,21.000,55.000,0.200,0.300,0.050,0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.010,1.500,0.090,0.000,4.000,0.280,0.000,0.000
1,かゆ,精白米,0,1.00,65.000,0.900,0.100,15.800,12.000,1.000,3.000,14.000,0.000,0.300,0.040,0.150,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,0.010,0.000,0.400,0.010,0.000,1.000,0.110,0.300,0.000
1,キヌア,玄穀,0,1.00,344.000,9.700,2.700,67.100,580.000,46.000,180.000,410.000,4.300,2.800,0.470,2.450,2.000,3.000,3.000,23.000,1.000,0.000,2.600,0.000,0.450,0.240,4.000,0.390,0.000,190.000,0.950,23.000,0.000
1,きび,精白粒,0,1.00,353.000,10.000,2.900,70.900,200.000,9.000,84.000,160.000,2.100,2.700,0.380,0.000,0.000,2.000,1.000,16.000,0.000,0.000,0.000,0.000,0.340,0.090,6.200,0.200,0.000,13.000,0.950,7.900,0.000
1,ぎょうざの皮,生,0,1.00,275.000,8.400,1.200,55.900,64.000,16.000,18.000,60.000,0.800,0.600,0.120,0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.080,0.040,2.500,0.060,0.000,12.000,0.610,0.000,0.000
1,きりたんぽ,,0,1.00,200.000,2.800,0.400,46.200,36.000,4.000,9.000,43.000,0.100,0.700,0.120,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.010,1.100,0.020,0.000,4.000,0.310,0.000,0.000
1,き押麦,七分つ,0,1.00,343.000,9.700,1.800,63.300,220.000,23.000,46.000,180.000,1.300,1.400,0.320,0.850,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.220,0.070,5.800,0.140,0.000,17.000,0.430,0.000,0.000
1,くるみパン,,0,1.00,292.000,7.500,12.500,37.000,150.000,35.000,33.000,88.000,0.800,0.900,0.230,0.610,2.000,18.000,1.000,12.000,11.000,0.100,0.400,2.000,0.110,0.090,2.200,0.110,0.000,45.000,0.550,2.900,0.000
1,クロワッサン,,0,1.00,406.000,5.900,19.300,51.200,110.000,27.000,14.000,65.000,0.400,0.500,0.080,0.260,3.000,5.000,0.000,6.000,31.000,1.400,2.600,7.000,0.110,0.090,2.000,0.050,0.100,46.000,0.420,3.900,0.000
1,コーングリッツ,黄色種,0,1.00,352.000,7.600,0.900,74.700,160.000,2.000,21.000,50.000,0.300,0.400,0.070,0.000,0.000,6.000,0.000,10.000,15.000,0.000,0.200,0.000,0.060,0.050,1.400,0.110,0.000,8.000,0.320,3.100,0.000
1,コーングリッツ,白色種,0,1.00,352.000,7.600,0.900,74.700,160.000,2.000,21.000,50.000,0.300,0.400,0.070,0.000,0.000,6.000,0.000,10.000,0.000,0.000,0.200,0.000,0.060,0.050,1.400,0.110,0.000,8.000,0.320,3.100,0.000
1,コーンフラワー,黄色種,0,1.00,347.000,5.700,2.500,75.600,200.000,3.000,31.000,90.000,0.600,0.600,0.080,0.130,0.000,0.000,0.000,0.000,11.000,0.000,0.200,0.000,0.140,0.060,2.100,0.200,0.000,9.000,0.370,0.000,0.000
1,コーンフラワー,白色種,0,1.00,347.000,5.700,2.500,75.600,200.000,3.000,31.000,90.000,0.600,0.600,0.080,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.140,0.060,2.100,0.200,0.000,9.000,0.370,0.000,0.000
1,コーンフレーク,,0,1.00,380.000,6.800,1.200,82.700,95.000,1.000,14.000,45.000,0.900,0.200,0.070,0.000,0.000,5.000,3.000,15.000,10.000,0.000,0.300,0.000,0.030,0.020,1.000,0.040,0.000,6.000,0.220,1.600,0.000
1,コーンミール,黄色種,0,1.00,375.000,7.000,3.600,66.100,220.000,5.000,99.000,130.000,1.500,1.400,0.160,0.380,0.000,0.000,0.000,0.000,13.000,0.000,1.100,0.000,0.150,0.080,1.600,0.430,0.000,28.000,0.570,0.000,0.000
1,コーンミール,白色種,0,1.00,375.000,7.000,3.600,66.100,220.000,5.000,99.000,130.000,1.500,1.400,0.160,0.380,0.000,0.000,0.000,0.000,0.000,0.000,1.100,0.000,0.150,0.080,1.600,0.430,0.000,28.000,0.570,0.000,0.000
1,コッペパン,,0,1.00,259.000,7.300,3.600,48.500,95.000,37.000,24.000,75.000,1.000,0.700,0.120,0.390,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.080,0.080,2.200,0.040,0.000,45.000,0.630,0.000,0.000
1,ジャイアントコーン,フライ / 味付け,0,1.00,409.000,5.200,10.600,67.800,110.000,8.000,88.000,180.000,1.300,1.600,0.070,0.300,0.000,0.000,0.000,0.000,0.000,0.000,1.400,1.000,0.080,0.020,2.400,0.110,0.000,12.000,0.120,0.000,0.000
1,しゅうまいの皮,,0,1.00,275.000,7.500,1.200,57.700,72.000,16.000,17.000,60.000,0.600,0.500,0.100,0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.090,0.040,2.200,0.050,0.000,9.000,0.500,0.000,0.000
1,そうめん・ひやむぎ,ゆで,0,1.00,114.000,3.300,0.300,25.100,5.000,6.000,5.000,24.000,0.200,0.200,0.050,0.120,0.000,6.000,1.000,3.000,0.000,0.000,0.100,0.000,0.020,0.010,0.900,0.000,0.000,2.000,0.250,0.400,0.000
